frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
2292.0,566.1,682.4,10.79064,1014,1147.2754,745.27545,19.597286,11862
2293.0,557.6667,673.1667,12.504994,927,1160.0393,738.92694,14.255566,11862
2294.0,563.6,664.5,10.503113,737,1167.5714,735.0536,8.469678,11300
2295.0,567.13336,661.6667,4.529071,752,1204.5,732.6188,37.00877,11300
2296.0,568.93335,671.26666,9.767266,825,1191.568,719.6805,18.293066,11300
2297.0,569.8393,676.6071,5.4167504,966,1278.362,713.7759,86.99468,10724
2298.0,567.87805,684.95123,8.571508,1077,1249.0,741.36206,40.288063,10724
2299.0,569.2105,674.6053,10.431398,1057,1288.7191,725.2584,42.85948,10724
2300.0,573.7105,671.5263,5.452533,944,1342.0829,713.75146,54.59031,10156
2301.0,581.44183,664.1163,10.708966,814,1119.824,753.57043,225.79764,10156
2302.0,584.07275,650.94543,13.431035,973,1137.1013,779.8581,31.457075,9580
2303.0,593.4828,638.5862,15.53383,527,1158.9778,735.3333,49.608826,9580
2304.0,591.5714,662.8571,24.34608,545,1146.8478,767.3261,34.215145,9580
2305.0,594.5,667.75,5.7023625,620,1149.5435,770.3261,4.033198,9580
2306.0,600.2857,661.0,8.890269,872,1132.1471,724.85297,48.68717,9015
2307.0,603.6,667.2,7.0302587,677,1196.625,689.4375,73.56396,9015
2308.0,607.32,655.08,12.678049,593,1171.321,707.66974,31.188215,8446
2309.0,604.5714,649.7143,6.0287447,554,1217.6418,772.92535,80.024445,8446
2310.0,596.4808,653.7692,9.049911,1046,1170.6992,750.1805,52.162624,8446
2311.0,609.7,646.4,15.13451,554,1276.6012,751.2883,105.90777,7882
2312.0,607.4516,652.64514,6.6375337,689,1254.9883,714.0706,43.03808,7882
2313.0,603.3333,654.1667,4.3903737,1142,1347.7206,772.5147,109.612915,7321
2314.0,611.4545,657.4091,8.744571,780,1294.5953,730.8902,67.48994,7289
2315.0,603.6,637.0,21.868382,711,1302.8766,741.1948,13.21985,6758
2316.0,606.2069,650.5862,13.834032,720,1285.2858,681.2857,62.438286,6689
2317.0,603.8571,662.4,12.045265,714,1297.9,708.26,29.778055,6199
2318.0,611.4878,657.5122,9.061897,699,1322.1527,698.1756,26.265722,5644
2319.0,614.0714,656.2143,2.8913076,789,1320.5454,662.4126,35.7991,5599
2320.0,610.2353,655.14703,3.981817,841,1320.6136,662.6591,0.2557908,5087
2321.0,612.0714,652.3571,3.3399065,871,1366.4286,724.3571,76.848236,4535
2322.0,611.27026,645.0,7.4006085,910,1343.7584,676.24835,53.182606,4395
2323.0,615.35297,646.5,4.349536,682,1351.659,644.5227,32.694595,3927
2324.0,617.91895,645.4054,2.7896965,619,754.86,650.22,11.351257,3548
2325.0,630.13043,639.7826,13.443821,340,781.1818,664.36365,29.881144,3968
2326.0,630.44446,644.0,4.229082,346,766.46155,653.7692,18.13638,4710
2327.0,630.8571,644.2857,0.5019112,457,786.0,646.2632,20.930641,5083
2328.0,633.2143,629.3571,15.113539,268,774.5192,655.9039,14.991697,5893
2329.0,639.6,634.8,8.390576,508,774.06525,668.86957,12.973643,6784
2330.0,637.68,626.28,8.733615,505,783.13043,650.2174,20.738386,7060
2331.0,642.0,638.25,12.725669,271,774.72974,653.91895,9.180037,7060
2332.0,644.2759,640.5517,3.2368863,523,793.53064,661.89795,20.42397,7511
2333.0,642.55554,629.44446,11.2396755,475,811.78723,656.55316,19.022877,8025
2334.0,636.6,643.9,15.634326,721,769.63043,661.1087,42.402225,8130
2335.0,645.9375,639.28125,10.41741,329,796.2295,669.9836,28.040567,8352
2336.0,645.525,636.825,2.4906304,308,820.74,684.18,28.324947,8262
2337.0,645.75,657.5,20.676212,407,807.6585,683.2683,13.113212,8361
2338.0,648.2093,648.27905,9.543268,572,805.1177,667.41174,16.058847,8696
2339.0,650.9286,643.2143,5.748597,581,799.8679,678.6226,12.379163,8849
2340.0,650.6727,646.2545,3.0509694,604,806.9032,690.5806,13.874044,9077
2341.0,658.7838,639.2432,10.721375,388,822.12,683.16,16.929768,8846
2342.0,660.19354,635.2258,4.257558,406,833.0,697.1667,17.73591,9074
2343.0,666.61536,626.2308,11.052182,323,821.7619,695.7619,11.325559,9335
2344.0,670.41174,635.91174,10.398737,410,825.3158,701.5263,6.771892,9497
2345.0,672.1429,645.1429,9.39206,481,826.96875,693.09375,8.593036,9767
2346.0,676.425,630.9,14.872641,490,852.6923,709.9385,30.748121,9383
2347.0,678.8571,639.4286,8.868577,490,821.2653,704.0816,31.9681,9588
2348.0,683.0847,641.94916,4.9219785,425,850.7143,697.2857,30.222944,9828
2349.0,687.0732,653.12195,11.863351,246,844.2727,713.4545,17.40474,10096
2350.0,690.6279,647.51166,6.641656,399,873.7,729.9,33.710842,9745
2351.0,693.7895,645.5789,3.7055287,375,870.9661,730.52545,2.8045135,9857
2352.0,697.7234,649.59576,5.6223316,297,866.3,715.3,15.924434,10162
2353.0,698.087,641.0217,8.581741,415,877.65625,719.5,12.108047,10448
2354.0,703.97144,641.4857,5.9027247,293,883.96875,718.0781,6.4706554,10121
2355.0,700.35,650.55,9.760941,410,889.875,736.5375,19.381212,10354
2356.0,706.4286,642.9286,9.748603,235,888.61646,750.3288,13.848627,10366
2357.0,719.3182,624.88635,22.173492,352,903.43634,753.38184,15.131095,10105
2358.0,726.0,628.9286,7.8093815,148,902.1071,751.5,2.3039405,10193
2359.0,730.25,641.25,13.03379,148,915.85266,757.0421,14.820763,10464
2360.0,727.25806,621.0968,20.374079,415,924.85187,774.3333,19.492851,10020
2361.0,732.1957,632.54346,12.466195,470,930.0759,752.6962,22.258802,10005
2362.0,740.4706,632.2059,8.281785,280,936.95605,769.6484,18.295122,9996
2363.0,745.8823,635.0,6.090494,267,957.76666,783.1667,24.815844,9776
2364.0,752.04,639.36,7.544944,292,946.1489,785.80853,11.914326,9612
2365.0,750.551,648.3674,9.129621,266,957.9505,785.3762,11.80949,9420
2366.0,751.1,644.1,4.302558,419,991.7879,804.36365,38.80067,8726
2367.0,754.2857,647.2653,4.490911,418,981.3717,810.6637,12.173242,8423
2368.0,758.1429,643.5,5.3903112,502,990.4435,820.3565,13.275832,8250
2369.0,759.4,642.4667,1.6273183,493,1002.4369,820.7767,12.000766,7859
2370.0,763.4318,649.2273,7.871556,404,992.72095,819.81396,9.763521,7704
2371.0,771.3461,635.0192,16.263624,396,1012.5952,814.381,20.60349,7155
2372.0,777.56757,637.2973,6.6253977,423,1020.3415,849.46344,35.92748,5350
2373.0,781.32,627.6,10.398027,330,1042.3954,846.3721,22.269505,5032
2374.0,793.8261,610.3043,21.343435,183,1042.4685,849.7972,3.4258902,4547
2375.0,796.7778,614.44446,5.0845876,357,1065.2325,867.8837,29.074467,2754
2376.0,799.2692,616.5,3.2299538,360,1076.9131,897.6087,31.937584,739
2377.0,803.3182,627.0,11.253621,210,1096.5198,874.6974,30.155443,619
2378.0,807.45654,641.34784,14.9327345,238,1082.0336,899.07385,28.355991,500
2406.0,920.2105,630.6316,16.069984,351,768.0968,642.19354,10.740165,38
2407.0,923.43243,641.1892,11.0383005,307,781.2632,631.4211,17.011747,13
2408.0,921.9796,641.81635,1.5823985,272,789.87805,626.7805,9.7852335,45
2409.0,933.5455,637.4318,12.369037,343,796.81396,642.76746,17.426678,168
2410.0,936.6,641.2364,4.8790073,355,793.3714,641.5714,3.6444182,194
2411.0,934.39655,642.2069,2.4076989,361,783.8461,639.1539,9.8272705,298
2412.0,942.7857,634.5714,11.343669,216,794.6875,642.625,11.383499,439
2413.0,938.0,633.1539,4.9912324,287,804.08826,639.7059,9.843554,790
2414.0,945.75,630.25,8.276168,188,798.7895,627.0,13.766485,872
2415.0,946.96155,645.3461,15.14467,266,811.275,632.475,13.633192,1066
2416.0,950.55554,635.0,10.952589,183,806.7,634.95,5.2015905,1148
2417.0,963.0,636.1579,12.49821,128,817.2,637.92,10.911953,1202
2418.0,961.8214,635.7857,1.2359607,159,791.0625,643.125,26.650738,1265
2419.0,971.82355,622.94116,16.279589,134,801.88635,639.8182,11.317723,1382
2420.0,970.0,643.2,20.340755,198,800.8929,640.5536,1.2360473,1508
2421.0,976.5789,627.9474,16.610981,273,794.1875,640.125,6.7190666,1550
2422.0,981.19354,631.1613,5.62353,138,817.9375,637.875,23.85634,1793
2423.0,982.46155,638.61536,7.5611215,277,806.7692,642.8461,12.224667,1897
2424.0,982.8333,643.0833,4.4833965,293,809.0769,649.61536,7.151769,1915
2425.0,989.3415,632.3415,12.559583,339,817.36957,647.15216,8.650758,1885
2426.0,984.84375,642.28125,10.910017,276,813.7636,644.56366,4.4388356,2260
2427.0,988.65955,636.19147,7.1864977,426,823.5625,653.75,13.43157,2428
2428.0,993.375,626.625,10.665496,282,820.95,644.4,9.7080965,2605
2429.0,993.0,643.2,16.579254,344,814.2414,645.4138,6.784787,2854
2430.0,995.5909,637.36365,6.3855944,321,818.129,659.2258,14.348706,3136
2431.0,996.7143,631.7143,5.759969,432,803.65717,664.02856,15.247986,3250
2432.0,1016.3333,620.6667,22.515673,314,835.6047,659.8605,32.21826,3472
2433.0,1009.1429,639.0,19.692959,272,830.38983,657.4068,5.7632556,3791
2434.0,1026.5,626.5,21.389706,141,815.67566,657.32434,14.714403,3974
2435.0,1026.4138,635.4828,8.983202,150,821.65717,661.3714,7.2219872,4055
2436.0,1028.921,631.8947,4.377252,137,835.74,653.76,16.008099,4310
2437.0,1035.5,630.4286,6.740363,137,845.13336,659.86664,11.203854,4901
2438.0,1028.0834,638.75,11.146848,158,833.3182,655.0909,12.743879,5198
2439.0,1027.683,638.7805,0.40155196,179,836.9167,655.0833,3.5985186,5561
2440.0,1031.1356,632.8475,6.864526,213,814.1163,661.3953,23.65799,5759
2441.0,1033.2128,640.0851,7.529777,232,858.97675,670.18604,45.713657,6098
2442.0,1033.8823,629.05884,11.0465555,242,852.0612,663.0612,9.929126,6572
2443.0,1038.25,636.0,8.200995,88,837.4773,661.4318,14.674664,7188
2444.0,1044.3158,630.0,8.531933,95,826.2308,671.3077,14.967189,7564
2677.0,943.35486,628.5484,9.199571,4,716.4783,630.913,4.9032235,10
2678.0,936.0,622.2,9.715759,9,720.36,645.36,14.959357,100
2679.0,936.6,632.55,10.367351,4,720.46155,647.4231,2.0656087,121
2680.0,930.0,613.1739,20.469315,7,724.3333,652.1667,6.1230893,292
2681.0,926.75,611.25,3.776751,13,728.89655,655.2414,5.502446,394
2682.0,915.11536,627.3461,19.860775,8,726.8333,659.8333,5.034148,487
2683.0,911.4,621.12,7.2504106,4,744.9545,658.36365,18.180714,700
2684.0,910.7647,625.94116,4.8628464,4,742.7143,662.5714,4.7669616,922
2685.0,906.5526,624.8684,4.3465576,4,741.4091,678.6818,16.163195,1111
2686.0,898.4651,637.4651,14.969449,38,751.1667,671.5833,12.066441,1328
2687.0,896.58,635.4,2.7960649,184,756.5769,679.5,9.588763,1379
2688.0,891.0,641.325,8.138924,166,757.44,672.0,7.549499,1646
2689.0,892.1163,640.67444,1.2920175,190,769.6667,684.0,17.131603,1851
2690.0,888.95123,639.95123,3.2466135,196,765.13043,693.5217,10.547081,1972
2691.0,889.74194,640.9355,1.262528,175,775.88574,691.2,11.003048,2205
2692.0,883.8,622.88574,19.002634,189,778.05884,689.4706,2.7772787,2182
2693.0,878.25,638.625,16.689117,249,786.4,706.8,19.23236,2152
2694.0,873.1111,629.1111,10.813096,201,792.5714,714.0,9.482943,2228
2695.0,870.7241,628.5517,2.4516332,258,794.4194,708.29034,6.0012608,2449
2696.0,861.075,614.4,17.128197,393,803.1923,726.5769,20.282084,2204
2697.0,855.34283,631.2857,17.832108,227,811.2353,723.44116,8.632626,2322
2698.0,861.9091,625.63635,8.66206,129,808.94116,734.3823,11.17909,2101
2699.0,856.8947,631.5789,7.7754965,93,829.6667,736.2222,20.807034,1951
2700.0,852.1622,629.5946,5.1317124,102,699.4138,686.1724,8.007432,1751
2707.0,814.6,635.8,13.252316,64,727.7,708.1,7.013392,2403
2708.0,815.5,614.5,21.318995,240,730.3333,713.1667,5.710152,2862
2709.0,813.5172,632.7931,18.400234,138,738.8182,731.1818,19.913263,2359
2710.0,799.0833,625.75,16.06059,189,745.3043,722.4783,10.85458,2564
2711.0,799.1429,631.7857,6.0359993,243,749.63635,730.1818,8.838055,2370
2720.0,949.8333,802.75,0,190,798.5192,764.1923,12.08944,860
