frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
2049.0,1123.1368,896.6842,31.705307,10521,839.13464,723.4039,38.165047,102
2050.0,1113.5454,894.7364,9.787212,10703,831.17645,744.35297,22.409761,30
2051.0,1113.959,903.2459,8.519566,10733,859.8261,737.15216,29.540728,4
2601.0,1424.0571,794.3143,0,618,1289.5377,719.9213,11.278742,33039
2602.0,1412.7273,764.4545,31.936956,1009,1282.4692,715.75684,8.204048,33385
2603.0,1411.0,763.0833,2.205398,1063,1236.1954,713.0575,46.352467,34895
2604.0,1417.275,762.675,6.2882953,535,1277.0511,712.2172,40.864353,36336
2605.0,1400.0834,789.4167,31.791058,1111,1240.8503,707.38684,36.52165,37497
2606.0,1404.1364,769.5682,20.258085,564,1226.7887,732.0211,28.365074,38318
2607.0,1388.4166,769.5833,15.719734,1401,1219.821,705.6,27.324438,39627
2608.0,1387.2954,779.4545,9.934689,1587,1232.5116,708.9942,13.136623,38615
2609.0,1370.4615,793.9231,22.19726,2226,1212.0912,715.29486,21.37034,39815
2610.0,1369.9773,786.75,7.189423,1556,1233.6964,700.4554,26.210606,41268
2611.0,1365.5834,830.6667,44.13595,1271,1209.4319,732.11566,39.889103,42950
2612.0,1355.8379,782.1892,49.44735,2365,1173.4708,699.61847,48.46922,45601
2613.0,1351.683,812.3415,30.437204,2004,1173.1051,721.3019,21.686495,45894
2614.0,1350.9231,801.1539,11.213399,1421,1158.0078,712.7356,17.358265,46932
2615.0,1340.0294,791.0294,14.87201,1631,1134.9095,689.9841,32.421627,48268
2616.0,1330.7838,805.13513,16.865715,2123,1140.0157,699.66144,10.94188,49683
2617.0,1324.25,784.3125,21.823673,2325,1140.312,699.695,0.29816043,50705
2618.0,1305.825,784.575,18.426918,2520,1121.2894,683.55,24.950357,52609
2619.0,1305.341,797.86365,13.297447,2132,1073.6791,680.76117,47.691963,53701
2620.0,1297.4082,798.9796,8.010851,2454,1078.3381,670.2086,11.5353,54347
2621.0,1288.3636,795.13635,9.82724,2697,1069.3662,693.14087,24.624857,55592
2622.0,1273.6731,838.5577,45.839108,2960,1043.9767,646.3912,53.19927,56882
2623.0,1268.5,827.375,12.321251,3376,1041.7197,673.0831,26.787205,56958
2624.0,1253.8723,820.8511,16.016579,3435,1039.9194,629.8035,43.317028,57743
2625.0,1244.04,820.2,9.853807,3788,1012.62775,613.68616,31.695518,56824
2626.0,1220.3732,816.80597,23.909,4741,988.65466,613.64746,23.973116,56456
2627.0,1217.8235,805.35297,11.733378,4888,982.6286,587.65717,26.679747,56240
2628.0,1194.1216,829.0541,33.518993,5871,965.7975,610.89874,28.695948,55082
2629.0,1195.4237,844.52545,15.526073,5137,969.75165,590.37256,20.90358,54850
2630.0,1160.4375,839.0156,35.417408,6045,945.5045,587.0455,24.474333,54530
2631.0,1153.7747,818.78876,21.296001,6646,905.1923,558.8138,49.214848,54034
2632.0,1140.8644,816.20337,13.166607,6565,915.7716,561.7963,10.991672,53683
2633.0,1120.9865,835.37836,27.619057,7041,958.22614,524.7199,56.365307,53328
2634.0,1105.9315,826.9315,17.262678,6985,1015.50964,520.6959,57.42467,52836
2635.0,1085.25,876.5132,53.722126,7359,1025.0609,545.77826,26.839344,52295
2636.0,1064.7375,842.5875,39.64481,7755,1015.019,557.5253,15.454257,51920
2637.0,1038.0723,826.988,30.893093,8083,999.1879,517.28296,43.244312,51344
2638.0,1024.1111,830.2593,14.339317,8453,1016.6588,530.8841,22.140974,50903
2639.0,1006.988,834.03613,17.534695,8535,1004.39746,539.4728,14.97018,50584
2640.0,977.2143,828.6429,30.25821,8963,978.20795,546.68317,27.163952,49860
2641.0,958.5,839.625,21.698658,9363,1005.75824,536.1033,29.51191,48974
2642.0,927.95605,850.4835,32.416664,9532,991.74036,550.78296,20.297642,48895
2643.0,893.02856,829.4286,40.782837,9814,977.0778,551.27625,14.670832,48203
2644.0,872.8302,832.783,20.475012,10479,965.16455,550.8174,11.922103,47441
2645.0,830.27185,848.79614,45.471237,10908,954.7393,554.1202,10.935901,47003
2646.0,808.86,827.1,30.482645,11448,948.15546,553.1689,6.652233,46163
2647.0,780.66315,842.71576,32.232197,11731,945.03534,561.2534,8.665727,45596
2648.0,731.70966,837.3226,49.24968,12577,936.7652,535.40283,27.141262,44345
