frame_number,person_center_x,person_center_y,person_velocity,person_intersection_percentage,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection_percentage,violation
2302.0,584.07275,650.94543,13.43104,3.54023,1137.1013,779.8581,31.45708,1.56379,1
2303.0,593.4828,638.5862,15.53383,1.86524,1158.9778,735.33325,49.60882,1.56422,1
2304.0,591.5714,662.8571,24.34608,1.92205,1146.8478,767.32605,34.21514,1.56264,1
2305.0,594.5,667.75,5.70236,2.22779,1149.5435,770.32605,4.0332,1.55976,1
2306.0,600.2857,661.0,8.89027,3.17942,1132.1471,724.85297,48.68717,1.47469,1
2307.0,603.6,667.2,7.03026,2.61362,1196.625,689.4375,73.56396,1.47753,1
2308.0,607.32,655.08,12.67805,2.20351,1171.321,707.66974,31.18822,1.39019,1
2309.0,604.5714,649.7143,6.02874,1.99906,1217.6418,772.92535,80.02444,1.3906,1
2310.0,596.4808,653.7692,9.04991,3.68096,1170.6992,750.1805,52.16262,1.39044,1
2311.0,609.7,646.4,15.13451,1.97854,1276.6012,751.2883,105.90777,1.3139,1
2312.0,607.4516,652.64514,6.63753,2.4599,1254.9883,714.0706,43.03808,1.32812,1
2313.0,603.3333,654.1667,4.39037,4.06078,1347.7206,772.5147,109.61292,1.24079,1
2314.0,611.4545,657.4091,8.74457,2.72369,1294.5953,730.89014,67.48994,1.2224,1
2315.0,603.6,637.0,21.86838,2.45579,722.9091,628.7273,15.93799,1.67191,1
2316.0,606.2069,650.5862,13.83403,2.48732,741.35297,632.82355,18.89325,2.2929,1
2317.0,603.8571,662.4,12.04526,2.46612,742.6046,637.5349,4.87481,2.88344,1
2318.0,611.4878,657.5122,9.0619,2.4072,752.3023,639.6977,9.93588,3.62325,1
2319.0,614.0714,656.2143,2.89131,2.75844,769.9231,639.8461,17.62141,4.18123,1
2320.0,610.2353,655.14703,3.98182,2.98576,762.6,644.475,8.66339,5.42686,1
2321.0,612.0714,652.3571,3.33991,3.15425,751.86664,641.86664,11.04572,6.27003,1
2322.0,611.27026,645.0,7.40061,3.31594,762.0,642.7143,10.16875,6.94188,1
2323.0,615.35297,646.5,4.34954,2.45206,765.9056,647.60376,6.25787,8.2396,1
2324.0,617.91895,645.4054,2.7897,2.22841,754.86,650.22,11.35126,9.01778,1
2325.0,630.13043,639.7826,13.44382,1.2215,781.1818,664.36365,29.88114,10.45435,1
2326.0,630.44446,644.0,4.22908,1.18997,766.46155,653.7692,18.13638,12.4611,1
2327.0,630.8571,644.2857,0.50191,1.5748,786.0,646.2632,20.93064,13.3736,1
2328.0,633.2143,629.3571,15.11354,0.98035,774.5192,655.9039,14.9917,15.56436,1
2329.0,639.6,634.8,8.39058,1.85382,774.0653,668.86957,12.97364,17.99657,1
2330.0,637.68,626.28,8.73362,1.82958,783.1304,650.2174,20.73839,18.58798,1
2331.0,642.0,638.25,12.72567,0.94441,774.72974,653.91895,9.18004,18.98982,1
2332.0,644.2759,640.5517,3.23689,1.84307,793.53064,661.89795,20.42397,20.17363,1
2333.0,642.55554,629.44446,11.23968,1.60684,811.7872,656.55316,19.02288,21.07067,1
2334.0,636.6,643.9,15.63433,2.39393,769.6304,661.1087,42.40222,20.82869,1
2335.0,645.9375,639.28125,10.41741,1.09167,796.2295,669.9836,28.04057,21.14281,1
2336.0,645.525,636.825,2.49063,1.03407,820.74,684.18,28.32495,21.7061,1
2337.0,645.75,657.5,20.67621,1.42456,807.6585,683.2683,13.11321,21.3761,1
2338.0,648.2093,648.27905,9.54327,2.00115,805.1177,667.41174,16.05885,21.92234,1
2339.0,650.9286,643.2143,5.7486,2.0286,799.8679,678.6226,12.37916,21.93256,1
2340.0,650.6727,646.2545,3.05097,2.07627,806.9032,690.5806,13.87404,22.20429,1
2341.0,658.7838,639.2432,10.72138,1.34553,822.12,683.16,16.92977,21.25117,1
2342.0,660.19354,635.2258,4.25756,1.37923,833.0,697.16675,17.73591,21.43239,1
2343.0,666.61536,626.2308,11.05218,1.11768,821.7619,695.7619,11.32556,21.55148,1
2344.0,670.41174,635.91174,10.39874,1.38195,825.31573,701.5263,6.77189,21.96335,1
2345.0,672.1429,645.1429,9.39206,1.61943,826.96875,693.09375,8.59304,22.07324,1
2346.0,676.425,630.9,14.87264,1.54397,852.6923,709.9385,30.74812,20.90485,1
2347.0,678.8571,639.4286,8.86858,1.57686,821.26526,704.0816,31.9681,20.93336,1
2348.0,683.0847,641.94916,4.92198,1.35089,850.7143,697.2857,30.22294,20.8192,1
2349.0,687.0732,653.12195,11.86335,0.7339,844.2727,713.4546,17.40474,20.85239,1
2350.0,690.6279,647.51166,6.64166,1.272,873.7,729.9,33.71084,20.34526,1
2351.0,693.7895,645.5789,3.70553,1.19208,870.9662,730.52545,2.80451,19.97759,1
2352.0,697.7234,649.59576,5.62233,0.98238,866.3,715.3,15.92443,19.92299,1
2353.0,698.087,641.0217,8.58174,1.3677,877.65625,719.5,12.10805,19.79211,1
2354.0,703.97144,641.4857,5.90272,0.95591,883.96875,718.0782,6.47066,18.74587,1
2355.0,700.35,650.55,9.76094,1.36106,889.87506,736.5374,19.38121,18.50771,1
2356.0,706.4286,642.9286,9.7486,0.74662,888.61646,750.3288,13.84863,18.53688,1
2357.0,719.3182,624.88635,22.17349,1.19809,903.43634,753.38184,15.1311,17.54401,1
2358.0,726.0,628.9286,7.80938,0.4711,902.1071,751.5,2.30394,17.10951,1
2359.0,730.25,641.25,13.03379,0.5081,915.85266,757.04205,14.82076,16.85067,1
2360.0,727.25806,621.0968,20.37408,1.37012,924.85187,774.33325,19.49285,16.14483,1
2361.0,732.1957,632.54346,12.4662,1.55716,930.0759,752.6962,22.2588,15.51535,1
2362.0,740.4706,632.2059,8.28178,1.00462,936.95605,769.6484,18.29512,14.76087,1
2363.0,745.8823,635.0,6.09049,0.92911,957.76666,783.16675,24.81584,14.0967,1
2364.0,752.04,639.36,7.54494,0.99668,946.149,785.80853,11.91433,13.43397,1
2365.0,750.551,648.3674,9.12962,0.92345,957.9505,785.3762,11.80949,12.6127,1
2366.0,751.1,644.1,4.30256,1.47772,991.7879,804.3637,38.80067,11.74655,1
2367.0,754.2857,647.2653,4.49091,1.47279,981.3717,810.6637,12.17324,10.74156,1
